Transaction_ID,Product_Name,Date,Quantity
T0035,Milk,2024-01-02,1
T0036,Fruit,2024-01-30,2
T0036,Juice,2024-01-30,1
T0037,Butter,2024-02-23,4
T0037,Fruit,2024-02-23,5
T0038,Eggs,2024-01-05,5
T0038,Cheese,2024-01-05,1
T0038,Butter,2024-01-05,2
T0039,Coffee,2024-01-25,3
T0039,Bread,2024-01-25,2
T0040,Juice,2024-01-16,4
T0040,Cereal,2024-01-16,2
T0041,Juice,2024-01-14,5
T0042,Eggs,2024-01-02,4
T0042,Cheese,2024-01-02,5
T0043,Coffee,2024-02-18,4
T0043,Milk,2024-02-18,5
T0044,Cereal,2024-01-23,1
T0044,Milk,2024-01-23,3
T0045,Yogurt,2024-03-23,2
T0046,Yogurt,2024-02-14,5
T0046,Fruit,2024-02-14,1
T0047,Milk,2024-03-07,2
T0047,Butter,2024-03-07,4
T0048,Butter,2024-03-29,1
T0049,Milk,2024-03-13,5
T0049,Cheese,2024-03-13,2
T0050,Bread,2024-02-25,5
T0050,Fruit,2024-02-25,1
T0050,Yogurt,2024-02-25,5
T0051,Milk,2024-03-17,4
T0051,Butter,2024-03-17,2
T0052,Butter,2024-03-26,5
T0052,Bread,2024-03-26,1
T0053,Eggs,2024-01-25,4
T0053,Bread,2024-01-25,1
T0054,Butter,2024-01-05,1
T0054,Bread,2024-01-05,2
T0055,Coffee,2024-03-14,3
T0055,Milk,2024-03-14,4
T0056,Eggs,2024-02-15,2
T0056,Bread,2024-02-15,4
T0057,Fruit,2024-03-19,3
T0058,Coffee,2024-01-28,1
T0058,Milk,2024-01-28,1
T0059,Juice,2024-02-06,4
T0060,Butter,2024-01-16,4
T0060,Bread,2024-01-16,2
T0061,Coffee,2024-02-05,2
T0061,Cereal,2024-02-05,2
T0062,Milk,2024-02-08,2
T0062,Eggs,2024-02-08,5
T0063,Cereal,2024-02-01,1
T0063,Milk,2024-02-01,5
T0064,Eggs,2024-01-13,2
T0064,Coffee,2024-01-13,3
T0065,Milk,2024-01-07,5
T0065,Butter,2024-01-07,5
T0066,Bread,2024-01-27,2
T0066,Eggs,2024-01-27,3
T0067,Butter,2024-03-03,1
T0067,Bread,2024-03-03,2
T0068,Eggs,2024-02-29,4
T0068,Cheese,2024-02-29,2
T0069,Milk,2024-01-15,5
T0069,Butter,2024-01-15,2
T0070,Butter,2024-02-21,4
T0071,Yogurt,2024-01-15,3
T0071,Fruit,2024-01-15,4
T0072,Yogurt,2024-03-10,2
T0072,Fruit,2024-03-10,5
T0073,Eggs,2024-01-28,3
T0073,Fruit,2024-01-28,4
T0073,Milk,2024-01-28,5
T0074,Yogurt,2024-03-17,2
T0074,Fruit,2024-03-17,2
T0075,Cereal,2024-03-27,3
T0075,Milk,2024-03-27,2
T0076,Milk,2024-02-04,5
T0076,Butter,2024-02-04,3
T0077,Juice,2024-02-29,5
T0077,Cereal,2024-02-29,5
T0078,Milk,2024-01-19,4
T0078,Butter,2024-01-19,3
T0079,Coffee,2024-02-07,3
T0079,Milk,2024-02-07,5
T0080,Coffee,2024-01-17,1
T0080,Bread,2024-01-17,2
T0081,Cereal,2024-02-09,1
T0081,Milk,2024-02-09,4
T0082,Eggs,2024-01-09,4
T0082,Cheese,2024-01-09,5
T0083,Eggs,2024-01-19,2
T0083,Cheese,2024-01-19,3
T0084,Juice,2024-03-24,3
T0084,Cereal,2024-03-24,5
T0085,Milk,2024-01-11,3
T0085,Bread,2024-01-11,5
T0086,Butter,2024-01-18,5
T0086,Bread,2024-01-18,1
T0087,Coffee,2024-02-12,2
T0087,Milk,2024-02-12,2
T0088,Juice,2024-03-15,2
T0088,Cereal,2024-03-15,3
T0089,Milk,2024-01-17,2
T0089,Bread,2024-01-17,3
T0090,Coffee,2024-02-05,3
T0090,Bread,2024-02-05,4
T0091,Juice,2024-01-11,1
T0091,Cereal,2024-01-11,1
T0092,Butter,2024-03-26,4
T0092,Bread,2024-03-26,5
T0093,Coffee,2024-01-18,4
T0093,Bread,2024-01-18,3
T0094,Butter,2024-02-23,3
T0094,Bread,2024-02-23,2
T0095,Milk,2024-03-08,5
T0095,Bread,2024-03-08,4
T0096,Butter,2024-03-12,3
T0096,Bread,2024-03-12,3
T0097,Milk,2024-03-19,2
T0097,Butter,2024-03-19,3
T0098,Juice,2024-03-06,1
T0098,Cereal,2024-03-06,4
T0099,Eggs,2024-03-15,1
T0099,Bread,2024-03-15,4
T0100,Coffee,2024-02-11,1
T0100,Bread,2024-02-11,3
T0101,Milk,2024-02-07,2
T0101,Butter,2024-02-07,2
T0102,Cereal,2024-03-01,4
T0102,Milk,2024-03-01,5
T0103,Yogurt,2024-01-13,2
T0103,Fruit,2024-01-13,1
T0104,Eggs,2024-01-25,3
T0104,Cheese,2024-01-25,2
T0105,Coffee,2024-03-08,5
T0105,Bread,2024-03-08,3
T0106,Juice,2024-02-15,5
T0106,Cereal,2024-02-15,3
T0107,Butter,2024-02-29,1
T0107,Bread,2024-02-29,5
T0108,Yogurt,2024-03-30,3
T0108,Fruit,2024-03-30,1
T0109,Juice,2024-02-11,5
T0109,Cereal,2024-02-11,3
T0110,Bread,2024-02-18,3
T0111,Juice,2024-01-19,1
T0111,Cereal,2024-01-19,5
T0112,Milk,2024-03-02,3
T0112,Bread,2024-03-02,1
T0113,Butter,2024-03-12,5
T0114,Juice,2024-01-23,5
T0114,Cereal,2024-01-23,4
T0115,Fruit,2024-01-07,1
T0115,Cheese,2024-01-07,5
T0115,Coffee,2024-01-07,4
T0116,Milk,2024-01-30,2
T0116,Cereal,2024-01-30,3
T0117,Milk,2024-02-07,3
T0117,Butter,2024-02-07,5
T0118,Yogurt,2024-03-03,3
T0118,Fruit,2024-03-03,4
T0119,Juice,2024-02-27,5
T0119,Cereal,2024-02-27,4
T0120,Milk,2024-02-16,4
T0120,Bread,2024-02-16,5
